comment_id,parent_id,username,comment,comment_time,like_count,reply_count
18078329215942462,,peyefghij,dari Gojek pindah ke shope mantap peningkatan perubahan warna 🔥,1755880247,763,11
18062659067598818,18078329215942462,lindasari2407,@peyefghij 😂 .,1755917678,0,
18079299263307226,18078329215942462,almondhoney06,@peyefghij 😂😂😂,1756045865,0,
18131646022446022,18078329215942462,cornelianana29,@peyefghij wakakakakaa ngakak njir 😂😂😂😂,1756079276,0,
18080691515507572,,ramlah_nte,"Good job bang Noel, kamu RAKUS!!",1755898228,80,2
18078414889940422,18080691515507572,apriapriantii,@ramlah_nte gacorrrrrr menn,1755907991,3,
18058011464597362,18080691515507572,lindasari2407,@ramlah_nte rakus kak,1755917716,2,
18095143012636166,,noraasfia,Suka deh baca narasinya Narasi. Belum pernah baca berita korupsi yang menghibur sekali 😂,1755898157,293,2
18071886974325538,18095143012636166,arum_1120,@noraasfia 🤣🤣🤣,1756014126,1,
18131492476443963,18095143012636166,linaaa0902,@noraasfia nah ini menghibur dari ojol berakhir di jeruji..kesetanan liat peluang korup😂😂😂😂😂,1756188761,0,
17913150345056603,,dimpleyesmile,"min cape gasih? tiap hari ada aja gebrakannya si wakil rakyat ini, gen z aja minder liat gebrakan baru mereka tiap hari",1755881630,195,2
17852851110526174,17913150345056603,dimpleyesmile,@dimpleyesmile tiap hari jurnalis lembur mulu dah gara-gara kelakuan si wakil rakyat,1755881684,21,
18090105064813040,17913150345056603,lemiere_art,@dimpleyesmile capek itu sampe slide terakhir sub judulnya kayak kurang gimana gtu,1755890153,1,
17919418563120177,,melissaaja18,Inilah akibat buzzer di jadikan pejabat tdk punya kompetensi apapun apalagi integritas modal bacod copy paste bacaan isi koran gratis di warkop. Lihat brp bsr kerugian negara? Luar biasa,1755885825,679,8
18035756045690001,17919418563120177,melissaaja18,@lampubumi di negara lain langsung mundurkan diri malu masih menjabat krn mrk punya integritas dan kredibilitas sbgi politikus. Di konoha pemimpin malah bilang kita baik2 aja ditengah2 segala pajak naik gila2😂,1755944221,3,
17975778434864548,,nhildaa,Seriusan nanyaa. Emang sekolah nya lulusan apa? Kok bisa jd ojol ke menteri. Gacor kalii,1755903421,6,5
18419707108098216,17975778434864548,amervengeance,@nhildaa hari gini masih tanya sekolah. Yang s2 aja banyak yg ga guna,1755936608,0,
17860122093415324,17975778434864548,ayaafadiya,"Alhamdulillah orang sekitar saya yg S2 S3 semuanya berguna, apa itu berguna? Mencoba untuk mencari pekerjaan yang halal. Ga harus 'kelihatan' kayak pejabat pejabat ga guna itu, ga semuanya harus kelihatan kan?",1756006243,1,
17900399223253205,,zul.wansyah,Prabowo balas dendam soalnya doi sering ngehina Prabowo di Twitter,1755878409,70,5
17868884310428242,17900399223253205,wakandanomoreindonesiaforeverr,@zul.wansyah next fufufafa krn hina dia di kaskus.,1755891242,14,
18094869568634856,17900399223253205,yamizero,@zul.wansyah mungkin ini operasi senyap Petrus versi tidak berdarah.,1755925439,4,
18072030748892466,17900399223253205,amervengeance,@zul.wansyah gaada hubungannya sama prabowo.,1755936582,0,
18074123669092343,,tengkusorayaa,Untuk jd mentru atw wamen g perlu pendidikan tinggu gtu ya?mis tamatan S2/S3 gtu kayak org lamar2 kerja byk x kualifikasinya...syaratnya cm 1  dhit duit duittt..jd gtu masuk carir lg duit duit duit biar balik modal,1755909889,4,1
18051690899230200,18074123669092343,ariperdanaputra,"Itu sedihnya negara tanpa meritokrasi bg, yg kompeten tidak diletakkan pada tempatnya, tp yg pintar main duit dan menjilatlah yg ditempatkan.",1755948445,0,
18415956718104717,,adamanasm,Bisa lah abu janda & rombongannya sekalian diciduk. Sekelas wamen aja bisa kok diciduk.,1755902787,17,1
18042224504666978,18415956718104717,3_tupaikecil,@adamanasm naah nunggu momen ini nih🔥🔥🔥,1755961202,0,
18048066068295662,,jonijn_,Sukses karena kerja keras ❌ Sukses karena menjilat 🦶✅,1755918829,38,1
18013733927784781,18048066068295662,arum_1120,@jonijn_ 🔥🔥🔥👏👏👏,1756014153,0,
18119016418500652,,firmana.wardani,"Joman, projo dan termul² lain ketuanya udah pada nikmatin hasil 🤣",1756004160,2,0
18078429760943524,,pejalanmakna,Rompi lusuh ojol lebih bermartabat & mulia dari rompi kpk,1755925273,6,0
18081678088910118,,saghara_31,"“Kami membiarkan mereka bersenang-senang sebentar,kemudian Kami memaksa mereka (masuk) ke dalam AZAB yang keras “ 
(QS.Luqman : 24)

Ayo kita doakan dengan seksama mungkin hanya Allah SWT yang bisa merubah segalanya",1756003389,2,0
18081257323913093,,pradityaputri,"Kalo 2016 susah, 2025 harta dia 17.6M. cuma butuh waktu 8-9 tahun  menjilat, harta kekayaan meningkat",1755907495,39,0
17863686537451185,,nurma.asr,Ceritanya spt di majalah hidayah banget yak,1756105938,1,0
18094015474632229,,bronx681,"""Prabowo MILITAN, ALIAS MILITER PECATAN"" -Immanuel Ebenezer Twitter, 2 April 2019, 12:14 AM",1755878207,64,0
18072548578874799,,stefanny_harya,"Tuhan kadang bikin kamu loncat naik keatas, bukan buat bikin kamu sukses...tp untuk nunjukin jati diri kamu yg ga layak terima kesuksesan itu",1756014708,2,0
18025677890709503,,kak.awe_,"Kalo jaman Pitung, yg bgini namanye cecunguk belande..",1756015043,1,0
18131249242450697,,is.timevva,"niat menginspirasi, jadi malah seperti ini",1755898411,2,0
18232650712292448,,amax_daniel,End up with rompi Shopee,1756101397,1,0
18084248983858163,,syaffarahmah,"Gak punya kompetensi gatau pendidikannya apa eh enak amat jadi wamen, naudzubillah bener ini negeri tertinggal",1755905778,2,0
18398041636140284,,putriindahnur,Tutorial karir melejit khaan maeen,1756008275,1,0
17966985266947293,,dewo_nugroho46,"Tap jangan nangis juga kaliii😂 ,harus tetap gacor kayak waktu di sidoarjo 😂😂😂",1756038346,2,0
17900520597128570,,raniridayani,"Ketika hidup gak punya pondasi, baru duduk jadi Wamenaker udh gak tau diri🥱",1756100837,1,0
18072645452034495,,fa_aula,"Jangan serakah, intinya...",1755893521,1,0
17857503327438478,,tholejawa,“ titik gacor selanjutnya “ 😂,1756018396,1,0
17882551278362555,,icep_84,Dari jaket hijau ke rompi orange...,1755994166,1,0
18065007551217374,,fatihahnrt,Yuk bisa yuk semua sistem di Indo mulai mengedepankan Meritokrasi lagi🙏,1756016252,2,0
17862072840399252,,pechacoo,udh ngerasain jd ojol susah nyari duit giliran dpt kursi malah lupa daratan 😭,1755925779,1,0
18051183239242073,,hanitanf,Gibran mania for 2029,1756052967,2,0
18027099464651945,,taftazanihnf,Udh bener ngojol aja deh packs,1755931883,1,0
18304096084216213,,lenght_10,"Jokowi, prabowo hobi nya kasi jabatan mentri ke buzzer/penjilat bukan nyari yg ahli di bidang nya",1756060474,2,0
18323539642232880,,nioni_nuna,Pantesan ga kenal kenal amat dia siapa sih kok langsung wamen... Taunya.... Buzzer,1756017163,1,0
17922981669106553,,kro_cokro,From GOjeck to GOjail,1756087546,1,0
18066648158221629,,yanti.fitriekazalti,Efeknya kl disetahkan ke yg BUKAN ahlinya,1756002426,1,0
18088770778765743,,denny_brewok,Modal nya bikin relawan buat pasokan suara Saat pemilu..😂😂,1756091507,1,0
18072203165154086,,wawi.sbi,yang kita salutkan dari bapak ini adalah menitih karir dari bawah. (yah meskipun rada jilat)😂,1755909665,1,0
17930417409007637,,adhitia.w.man,G A R O N G N A N G I S 👹,1756005862,2,0
18070696898125173,,daniedorkzilla,"Awalnya Respect Sama KPK yang ga Pandang Bulu, Tapi Setelah KPK Bilang Jika Sertifikasi K3 hanya 275rb menjadi 6jt, dari sini bisa tahu Wamenaker Menjadi Korban Politik. Bukannya Sertifikasi K3 Umum Paling Mahal Memang  harganya 6Jt, karena peserta Harus melakukan Pelatihan K3 selama beberapa Hari, Dalam Pelatihan itu Kan Penyelenggara menyewa Tempat Untuk Pelatihannya, menyediakan Modul Pelatihan yang Materinya Lumayan Banyak, Kemudian Saat Pelatihan ada Coffe Break dan Makan Siang, Emang cukup 275rb itu untuk Cetak Sertifikat K3, Sewa Tempat Pelatihan, coffe Break dan Makan Siang.?",1756043710,1,0
18064002686260805,,haperusakbro,Puncak KARIER seorang pejabat indo adalah ROMPI OREN...,1755894345,3,0
18075257711507365,,okawisnun,"😂😂 halah... setnov aja di bekingi raja Solo, sekarang bebas.. lah ini masa ga bebas 😂😂😂",1755892315,32,2
18054292421417270,18075257711507365,fannidwi,"Wkwkwkkw ya beda kelas lah, Setnov megang semua kunci pejabat2 kalo dia bernyanyi bs kena semua. Kalo Noel siapa dia? Dulu cuma koordinator buzzer trs jd relawan JKW 😂😂😂, kartu AS apa yg dia punya 😂😂😂",1755908216,4,
18136427575379471,18075257711507365,pebriyan_dp,Kartu AS-nya pernah jilat Jokowi dan sekarang Prabowo. Silfester aja jilat Jokowi aman lho.,1755909741,1,
18153675409377811,,aditomosatrio,"Terlalu gacor bang noel ente.. bandar gasuka 😂 wkwk writer nya seru bikin narasi nya nih ""vokal tentang keselamatan kerja, sampai lupa keselamatan diri"" 😂😂",1755879882,97,0
18082523689724584,,jonijn_,JoMan 😂 *aura menjilatnya kuat sekali,1755918876,11,1
18083711656712445,18082523689724584,hans_bank1,@jonijn_  sependapat mas wkwkkwkw jilat mulyono,1756019483,1,
17929534257069339,,selimarianaa,"Jenjang karir buzzer yang sangat fantastis, ayo balikin lagi dia jadi ojol",1755878126,89,3
18056532143608045,17929534257069339,odg_garage,Dah gak bsa lgi dia jdi ojol..... skck gak lolos...... tpi jdi opank msh bsa...... 😵‍💫😵‍💫,1755945628,1,
18073081847084677,17929534257069339,hendraparza89,"Udah gak bisa.. jadi ojek pangkalan aja dia mah😂,, tapi nanti setelah bebas",1755950185,0,
18176910634338872,17929534257069339,glepunk0069,Ngapain dibalikin?kalo bisa sih membusuk aja di penjara,1755956003,1,
18076547765290422,,almulk_tour_indonesia,"Sangkin gacornya lupa ngerem abg ojolnya,..main gass terusss,lupa ada lubang..jatuh deee akhirnya..😢😢😢",1756087913,1,0
17858563290474105,,eza_hrsmann,"Udah bener pake rompi ojol, malah jadi pake rompi oren 😂😂",1755878230,298,5
18087638137834156,17858563290474105,jabal.1990,"Itu rompi shopee bang, ya persiapan aja nanti kalo bebas kembali ke habitatnya lagi 🤣",1755914993,1,
18055309688616287,17858563290474105,itsadits_,Jadi pegawe shopee sekarang 🤣,1755921193,2,
18051203402230579,17858563290474105,odg_garage,@jabal.1990 mang msh bsa? Kan dminta skck..... klo opang bru bsa...... 😵‍💫😵‍💫,1755945513,1,
17985231950712839,,ucky_alvwxyz,"Harusnya malu, bukan menangis didepan kamera!",1756030362,1,0
18094088290639614,,yosifikasi,Pilpres pileg selanjutnya jgn pilih yg diendorse buzzer dan artis,1756030524,1,0
18112909597518028,,etherealhua,"Dari ketua jokowo mania jadi wamen aja udah sangat wow, itu udah bukan batu loncatan tapi trampolin",1756032599,2,0
17857418547488093,,barbermoen,Tentunya jokowi,1756036487,1,0
18068732270329193,,damarbasmalah,Noel jangan menangis,1756038109,1,0
18040882922384731,,neilyanii,Orang tol ol dikasih kursi ya gitu,1756057243,1,0
17864648559446841,,selametabraham_,Gara-gara Jokowi Mentri giveaway tercipta,1756064259,1,0
18135296395436866,,gixpnx,Suruh keluar negeri aja jgn balik balik 😂,1756080374,0,0
18406912453117056,,mister.brada,"Noel lupa bayar setoran, nanti kalo dah bayar dpt remisi, pengampunan, dll bebas lg lalu menjabat lg, korup dan meres lagi, gk bayar setoran, masuk penjara dan bebas lagi. Kita sbg penonton disajikan hal yg terus berulang, lbh baik fokus diri sendiri aja 😢❤️",1755882769,62,0
18059010107607189,,fir91awan,BUMI GONJANG GANJING KORUPTOR EMANG ANJING,1755878536,24,0
18099510403611286,,mirantiaa,Gacor banget 😂,1755924287,0,4
18078504866314143,18099510403611286,mirantiaa,@hany_shandayani mba sri nemu aja nih 😂😂,1756015305,0,
17957410742842851,18099510403611286,hany_shandayani,"@mirantiaa tiba2 ada notif masuk, eh isinya komen Mira 😂",1756020138,0,
17863154565458651,18099510403611286,mirantiaa,@hany_shandayani 😄😄,1756023079,0,
17864893338443943,,hans_bank1,Produknya si mulyono udah bisa ketebak. Bacot doang gede akhirnya nilep juga. Model muka penjilat,1756019440,1,0
18289215076248850,,abdurrahmanrais,Salah satu bukti nyata driver ojol yg sukses. Saya jadi semakin bersemangat untuk ngojol setiap harii 😎,1755878135,15,4
17963676038809613,18289215076248850,nvlvadli,Miskin,1755891796,0,
18529620451011430,18289215076248850,sprn_shah,Anyep bro 😂,1755900297,0,
18075975568951962,18289215076248850,mirzaa_ai,Ojol lebih terhormat daripada pejabat korup..,1755910285,0,
18573974146042980,,firmana.wardani,Pencapaian luar biasa ga sampe 10th dr ojol jadi komisaris lanjut wamen 👏👏👏🙌 rezim yg luar byasahhh,1756003794,1,0
18089091511764560,,joul_windy,Ternyata yang berasal dari rakyat biasa pun tidak bisa dipercaya😂,1755974923,1,0
18057622997528740,,hardiyanto_,Kerja 8 tahun kalian dapat apa???,1755970090,0,1
18355014505083464,18057622997528740,deajeng_nina,@hardiyanto_ ak di perusahaan yg trakhir sdh hampir 10th dpt hikmahnya aja bang,1755985499,0,
17897688993272737,,mr.ardiansyah01,"Plis ralat min judulnya... ""Karir Gacor Noel dari Gojek hingga jadi shopefood 2025""",1755978102,1,0
18341099020161636,,ayudyahkencana_real,Ga pernah bersyukur ya gini😢,1755969215,1,0
18320267206225711,,kurniakhairunnesa,Capek banget kok bisa kok bisa masuk kriteria wamen tuh liyat dri prestasi apa nya pak??? Best driver orderan terbanyak apa gimna????,1755965679,1,0
17957985062977517,,nisasastr,Pacarmu sus @susmanja12,1755966006,1,1
18011449751607706,17957985062977517,susmanja12,@nisasastr ambil dah buat lo,1755966479,0,
18110529412526452,,heybangerzz,emang udah bener banget yang beginian gausah dikasi panggung politik selamanya lagi,1755942092,2,0
17842078467568310,,iftianadh,"udah bener jadi ojol gajinya berkah, malah masuk DPR. Jadi tumbal kan😞",1755957170,1,0
18492360187069980,,ken.serangese,"Salutnya dia berani tampil di tv bela jokowi meskipun sebagai narsum diskusi banyak ngawur, yg penting ngotot aja 😂",1755959317,0,1
18132253720392007,18492360187069980,ken.serangese,Lagian TV mau aja lagi dapat narsum kayak gitu,1755959395,0,
18082798522900859,,drayanaindra,Bikin gibran mania ah,1755883753,4,3
18324260671235818,18082798522900859,harry_silampari,@drayanaindra gas mas... dipastikan gantiin posisi wamen yg kosong atau dicariin posisi komisaris 😂😂,1755902319,0,
18072514367284954,18082798522900859,gielank,"@drayanaindra keduluan, udah ada ormasnya ini 😂",1755918139,0,
18054074633176300,,widia_kusuma89,Dri jalan kembali ke jalan,1755945245,1,0
18110698309536071,,_rizkyjnv,"""berhenti di titik gacornya : KPK""🔥",1755949823,1,0
18080088055904888,,syafiin_1995,@azer.d_a dari Ojol Zerr hingga berompi orens,1755883069,0,1
18045250316644981,18080088055904888,azer.d_a,"@syafiin_1995 sok menjual kesedihan ,lek kemaki ya terjun bebas ngene ki wes 😂",1755948678,1,
17916003423176979,,duasisiproject.id,"Tuhan angkat dia, namun dia menurunkan derajatnya",1755940782,1,0
18063326996033186,,rai_el,"Suka deh sama cara main Menteri Yassierli 😂😂😂 udah kode, warning, sampe pasang patung 😂",1755944424,1,0
18035629700695311,,jaka_azwandi,Yuks bikin Gibran Mania...😍😍😍,1755945355,1,0
17967835289947747,,vanjoel_evan,,1755922119,1,0
18085411222892634,,anwar_nc,Yg neriakin pak ganjar ini itu yaaa😁,1755921136,0,0
17883361785242834,,gitarosie19,"Dukung selalu jurnalis dengan kasih like konten mereka, terima kasih yaa udah bikin tulisan bagus 👏",1755920658,4,0
17861250225465381,,angelaclaark,"jangan jadikan ini nutup kasus ADP yaa. please. 
kami masih kawal kasus ADP",1755938080,1,0
17862127314455748,,retnoristiana,Nangis pak? Habis dpt duit masa nangis,1755879220,1,0
18066960728467755,,irnaa_kurnia,Amalan apa yang dilakukaan @ipung_pungky bayangkaaaaannnnnnnnnnn coba,1755938093,0,1
18040178018396895,18066960728467755,ipung_pungky,"@irnaa_kurnia menjilat tiada hentiii, ini serius pernah jd driver ojol? Gilee bs lgsg jd wamen, luaaarrr biasaaa",1755938231,0,
17941689786044546,,wijaya_rivo,"Dulu dia pernah ngomong kalau korupsi harus di hukum mati, sekarang tagih janjinya, jangan sampai gak dihukum mati",1755935873,1,0
18071514340886848,,anthonylim4808,Sama kayak Nadiem Makarim dari bos gojek trus Jd menteri skrg Jd buronan KPK 😂😂😂,1755937017,2,0
18055723841142924,,chennotchin,nangeess😂,1755934487,1,0
17914417590175922,,namira.plants,Bukankah orang2 58% memang menginginkan orang yg ga berpendidikan yang memiliki jabatan di negeri ini?,1755933836,1,0
18075065678510519,,asrllg,Congrats geng soloo 🎉,1755902715,4,1
18097442932617109,18075065678510519,ayu_rezki,@asrllg menyala 🔥🔥🔥🔥,1755911848,1,
17969378498926532,,moronmad27,Die kaga nyadar di jadiin tumbal rajanya bhuahahaja,1755916379,1,0
18153149767386271,,dayat_regobiz,Asli Perintis. From zero to rompi orens 😂,1755920303,1,0
18192041290319461,,nisa_nurf92,"Kaya nya cuma sebentar, malunya seumur hidup 😂",1755920677,1,0
17900931276253139,,kowozroesdiansyah,Emang beneran di hukum?? Bener2 masuk penjara???😬🙄,1755920318,1,0
18139411555422576,,jhonsitorus8,Dari ojol balik ke ojol lagi.,1755878157,32,0
18097838677719328,,detrimandavic,Mirip Nico ga sih @guntur_rafly,1755916981,0,1
18071942186024954,18097838677719328,guntur_rafly,@detrimandavic kelakuannya atau mukanya?,1755917378,0,
18039663971391672,,beningtirta,"Wamen Noel ini mentok bawah, Wamen Stella mentok atas *siap2 diangkat staf ahli",1755878624,1,0
17894990028279730,,manirusss,@dikkkaa_0 @sisifuss_ pantes tmn gua sabtu masih narik aja biar bisa jadi bapak ini ternyata,1755879906,0,1
17863895664451422,17894990028279730,sisifuss_,@manirusss tuh cad narik dlu baru jadi menteri,1755913138,0,
18067319828271524,,going_venture,Dibilang semakin banyak pejabat semakin banyak potensi korupsi. Kalo emang prabowo tidak pro kepada korupsi harusnya mengurangi bukan memperbanyak ! Kecuali memang ga ada niat berqntas korupsi si wowo !,1755910951,1,0
17950586139001226,,ecareksa,Karma. Makanya jangan belagu ke wong cilik,1755906258,2,0
18137600272426632,,mariacabelen,GACOR banget bang Noel....😂,1755904966,0,0
17976813242874109,,anggigu86,Kata Andi Azwan dia ga bisa pake motor 😂,1755888574,0,0
18121542649470067,,i.balang_,@prabowo ini MENTRI YG KATANYA MENTRI YG SUKSES ITU KAN PAK???,1755888694,0,0
18061693667359153,,kiflyno13,"Dih nangis 😂
Kmren bukannya petantang petenteng oel 😅",1755889170,2,0
18095250271640651,,shl.maa__,okb,1755889245,0,0
17890576731320099,,aryayudiabisma,Wkwkwkwkwk mental maling,1755889362,0,0
18095413855635072,,ven_dett75,Akhir nya Suatu Saat Loe akan Tahu Penderitaan Para Onjol yg Sesungguhnya..🫵,1755889610,0,0
17862082167397554,,urizasyifa,Kasihan.. nasib nasib.. semoga ada yg kena OTT lagi,1755889916,0,0
18219387259305592,,ach.ervin,Jenjang karir seorang buzzer 👏,1755890784,0,0
18325748173233573,,fitrinrh71,Allhamdulilah lambat laun akhirnya kejahatan akan terbuka,1755890969,0,0
18077504716795359,,klikhukum.id,OJOL rompi KPK (Omset Jutaan Ora Legal) 😂,1755892714,0,0
18074486687023056,,idungrizky,Ada orderan titiknya di KPK 🥱,1755893693,0,0
18035046647481397,,diansmgg,Anjay🔥,1755894386,0,0
17901249147253871,,ceciliadevi28,Rompi oren menyalaaa 🔥🔥🔥,1755894432,0,0
18335721883205944,,bany.iqbal90,Ohh skrg kurir anterin makanan,1755895076,0,0
